["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Generic Programming", "Objects and Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Exceptions, Assertions, and Logging", "Concurrency", "Collections"]	["Exceptions, Assertions, and Logging", "Concurrency", "Collections"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]	["Collections", "Inheritance", "Objects and Classes"]
["Collections", "Concurrency", "Graphical User Interface Programming"]	["Concurrency", "Collections", "Graphical User Interface Programming"]
["Collections", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Concurrency", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Collections", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "Collections", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Concurrency"]
["Collections", "Generic Programming", "Inheritance"]	["Exceptions, Assertions, and Logging", "Objects and Classes", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]
["Collections", "Inheritance", "Concurrency"]	["Collections", "Concurrency", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]
["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Objects and Classes", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]	["Objects and Classes", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]
["Collections", "Graphical User Interface Programming", "Generic Programming"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Collections"]	["Concurrency", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Concurrency", "User Interface Components with Swing"]	["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Concurrency"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "Concurrency", "Inheritance"]
["Collections", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Concurrency", "Collections", "Objects and Classes"]
["User Interface Components with Swing", "Concurrency", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "Objects and Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Inheritance", "Collections", "Generic Programming"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Exceptions, Assertions, and Logging", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "Collections", "Generic Programming"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Collections", "Concurrency"]	["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]
["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Collections", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Concurrency", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Collections"]
["Concurrency", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]	["Inheritance", "Collections", "Generic Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]	["Objects and Classes", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Concurrency", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Concurrency"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]
["Collections", "Graphical User Interface Programming", "Concurrency"]	["Concurrency", "Graphical User Interface Programming", "Collections"]
["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Concurrency", "Objects and Classes"]	["Concurrency", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Collections", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Exceptions, Assertions, and Logging", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Inheritance", "Collections", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Inheritance", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Collections", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Collections", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Collections", "Generic Programming", "Objects and Classes"]	["Objects and Classes", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Generic Programming"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Generic Programming"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Objects and Classes"]
["Concurrency", "Collections", "Graphical User Interface Programming"]	["Interfaces, Lambda Expressions, and Inner Classes", "Collections", "Graphical User Interface Programming"]
["Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming", "Objects and Classes"]	["Collections", "Objects and Classes", "Graphical User Interface Programming"]
["Objects and Classes", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Inheritance", "Generic Programming"]
["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]	["Concurrency", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["User Interface Components with Swing", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Concurrency"]
["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Concurrency", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Concurrency"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "User Interface Components with Swing"]	["Objects and Classes", "Collections", "Concurrency"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]	["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Inheritance"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Inheritance"]
["User Interface Components with Swing", "Concurrency", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Objects and Classes", "Collections", "Concurrency"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]	["Concurrency", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Objects and Classes"]	["Exceptions, Assertions, and Logging", "Generic Programming", "Inheritance"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Collections"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]	["Concurrency", "Graphical User Interface Programming", "Collections"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Collections", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]	["User Interface Components with Swing", "Collections", "Fundamental Programming Structures in Java"]
["Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Generic Programming", "Objects and Classes"]	["Collections", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Graphical User Interface Programming", "Generic Programming"]	["Generic Programming", "Collections", "Inheritance"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Generic Programming", "Objects and Classes", "Concurrency"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Concurrency", "Graphical User Interface Programming"]
["Collections", "Inheritance", "Generic Programming"]	["Exceptions, Assertions, and Logging", "Collections", "Generic Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Concurrency"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Concurrency"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]
["Collections", "Inheritance", "Generic Programming"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Concurrency", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]
["Collections", "Concurrency", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Exceptions, Assertions, and Logging", "Concurrency", "User Interface Components with Swing"]	["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]	["Interfaces, Lambda Expressions, and Inner Classes", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "Collections", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Collections", "Exceptions, Assertions, and Logging", "Concurrency"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "Collections", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Fundamental Programming Structures in Java", "Generic Programming", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Concurrency"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["Collections", "Concurrency", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Inheritance"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]	["Concurrency", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Generic Programming", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Generic Programming", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Graphical User Interface Programming", "Objects and Classes"]	["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Objects and Classes", "Generic Programming", "Graphical User Interface Programming"]	["Generic Programming", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Collections", "Inheritance"]	["Generic Programming", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Concurrency"]
["User Interface Components with Swing", "Concurrency", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Concurrency", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Objects and Classes", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Collections", "Generic Programming"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Concurrency", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Concurrency", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Inheritance", "Objects and Classes", "Generic Programming"]	["Objects and Classes", "Generic Programming", "Inheritance"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Generic Programming", "Collections", "Inheritance"]	["Generic Programming", "Inheritance", "Collections"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Collections", "Generic Programming", "Objects and Classes"]	["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Inheritance", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Concurrency", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]	["Generic Programming", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming", "Objects and Classes"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
