382,384,What is the meaning of the type safety warning in certain Java generics casts?,"What is the meaning of the Java warning?  Type safety: The cast from Object to List is actually checking against the erased type ListI get this warning when I try to cast an Object to a type with generic information, such as in the following code:--CODE--","[""Object object = getMyList();List<Integer> list = (List<Integer>) object;""]",<java><generics><warnings><casting><type-safety>,384,"This warning is there because Java is not actually storing type information at run-time in an object that uses generics.  Thus, if object is actually a List, there will be no ClassCastException at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  This can cause further complications if items are added to the list, with this incorrect generic type information.  Any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  To remove the warning, try:--CODE--However, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  The above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in Eclipse (or a SuppressWarning annotation).","[""List<?> list = (List<?>) object;""]",Generic Programming,"{""Restrictions and Limitations"": 1.35, ""Defining a Simple Generic Class"": 0.3, ""Generic Code and the Virtual Machine"": 0.7}"
33689850,33689993,Using ReentrantLock instead of synchronized for improving performance,"I'm trying to find the most optimal solution for my particular situation. I currently have the following class:--CODE--The class represents all updates of amount of money shared by a user group. The group may consist up to 100 users. The amount field may be updated by any user of the group concurrently.Calling the update(int) includes entering two synchronized blocks which is not very good from performance standpoint. Also it may happen that the BULK operation will be computed twice or more times even if there is no need for it. Actually, assume that three threads are trying to acces update() concurrently. The check(date) returned true in each of the threads. It doesn't do any harm, but the BULK operation is quite heavy (more thaqn 1 minute). So, it's critical to not perform it even twice if there is no need.It's not possible to wrap the BULK operation into a synchronized block becuase it includes calling a couple of alien methods. So, I tend to use ReentrantLock instead of synchronization. The class then may be rewritten as follows:--CODE--QUESTION: Is such using of ReentrantLock more efficient in such circumstances than explicit synchronization.","[""public class Container    private volatile Date date;    private int amount;    private final Object lock = new Object();    public void update(int amount){        int actualAmount;        if(check(date)){              //do some BULK computation to compute the actualAmount             synchronized(lock){                 date = new Date();                 this.amount = actualAmount;             }        }    }    private boolean check(Date date){        synchronized(lock){          //reading from the date and returning true if the date is expired        }    }}"", ""public class Container    private volatile Date date;    private int amount;    private final Lock lock = new ReentrantLock();    public void update(int amount){        int actualAmount;        lock.lock();        try{            if(check(date)){                 //do some BULK computation to compute the actualAmount                 date = new Date();                 this.amount = actualAmount;            }        } finally {            lock.unlock();        }    }    private boolean check(Date date){         //reading from the date and returning true if the date is expired    }}""]",<java><multithreading><synchronization><locking>,33689993,You can do the same without synchronization.Synchronization is needed only if a thread needs to know the value of a variable to update it. If the thread only change a variable it is sufficient to define it as volatile.--CODE--NOTE: A synchronization can be necessary if the amount depends on the actual amount value. A synchronization for date is not necessary,"[""public class Container    private volatile Date date;    private volatile int amount;    public void update(int amount){        int actualAmount;        if (check(date)) {              //do some BULK computation to compute the actualAmount             date = new Date();             this.amount = actualAmount;        }    }    private boolean check(Date date) {          //reading from the date and returning true if the date is expired    }}""]",Concurrency,"{""Synchronization"": 0.8}"
8178847,8179009,Frequently Used Hash Maps But With Concurrency,"I'm reaching back to a previous question I had: Frequently Used metadata HashmapHowever, this time how would I adapt that solution to work with ConcurrentMap? LinkedHashMap isn't a synchronized collection, and due to performance reasons I don't want to wrap it in sycronizedMap. Is there an alternative [concurrent friendly] solution  to solve this problem?The original problem was that I need a hash map that gets rid of the least used items after so many entries. ",[],<java><multithreading><performance><concurrency>,8179009,"The Guava [MapMaker](""http://guava-libraries.googlecode.com/svn/trunk/javadoc/com/google/common/collect/MapMaker.html"") and [CacheBuilder](""http://guava-libraries.googlecode.com/svn/trunk/javadoc/com/google/common/cache/CacheBuilder.html"") classes can generate concurrent maps with an LRU eviction policy.  The CacheBuilder class is preferred for caching use-cases, as the Guava developers are in the process of stripping the cache support methods out of MapMaker.",[],Concurrency,"{""Synchronization"": 0.8, ""Thread-Safe Collections"": 0.85}"
5983799,5989730,Fading Jpanels in and out in a JFrame,"I would like to make a game with multiple JPanels in a single global JFrame. I would like to switch these JPanels but with a nice animation like fade in and fade out. How would you be able to fade a JPanel out, switch the JPanel to a new one, and fade the new in (preferably without an external library)?Thanks a lot",[],<java><swing><user-interface><jpanel><fade>,5989730,"Maybe  [http://filthyrichclients.org/](""http://filthyrichclients.org/"")has some nice ideas and examples(online) to get started. It contains many swing animation details.",[],User Interface Components with Swing,"{""Choice Components"": 0.8}"
8049561,8050690,FlowLayout does not use multiple lines within GridBagLayout,"Normally, FlowLayout uses more than one line if needed. Apparently this doesn't happen if the component with the FlowLayout is itself part of a GridBagLayout.Consider this code:--CODE--This code is intended to display the JLabels ""Label #1"", ""Label #2"" etc. on multiple lines, but in fact it only uses one line.I can force it to use multiple lines by removing the '//' before the call to setPreferredSize in the above code, but this requires me to set both a width and a height, and I don't know what height to use. (I cannot use FontMetrics to calculate the height, because in my actual case the JLabels are in reality small JPanels of varying size.)So is there a way to force FlowLayout to use multiple lines? (Or, alternatively, is there a way to calculate the required height of a component when its width is known?)","[""import java.awt.*;import javax.swing.*;public class Xyzzy extends JFrame{    public static void main(String[] args) {        javax.swing.SwingUtilities.invokeLater(new Runnable() {            public void run() {                Xyzzy frame = new Xyzzy();                frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);                frame.setLayout(new GridBagLayout());                JPanel top = new JPanel();                top.setLayout(new FlowLayout());                for (int i=1; i<=30; ++i)                    top.add(new JLabel(String.format(\""Label #%d\"",i)));                GridBagConstraints c = new GridBagConstraints();                c.weightx = 1.0;                c.gridwidth = GridBagConstraints.REMAINDER;                c.anchor = GridBagConstraints.CENTER;                frame.add(top,c);                frame.add(new JLabel(\""Bottom\""),c);                //top.setPreferredSize(new Dimension(500,300));                frame.setSize(600, 600);                frame.setVisible(true);            }        });    }}""]",<java><swing>,8050690,Try to add constraint parameters:--CODE--It should allow growing of panel with FlowLayout in vertical direction.,"[""c.weighty = 1.0;c.fill = GridBagConstraints.VERTICAL;""]",User Interface Components with Swing,"{""Sophisticated Layout Management"": 0.95}"
13454589,,How to improve GUI by changing BoxLayout into a different LayoutManager?,"I've a big problem with Swing in Java, I used BoxLayout for this but still it looks bad.Any suggestions about my usage of layouts, or how to change it to look like in assumptions? ([here are assumptions](""http://imgur.com/a/NKA48#0""))--CODE--EDIT: I almost solve this problem, I need to move all elements to left ([how it look like](""http://i.imgur.com/9kdZs.png""))but I have no idea how ;/ Here is constructor of this class.--CODE--","[""Container main = new Container();    Container left = new Container();// here goin buttons    Container right = new Container(); // here goin tabs +  more buttons, textfields and other stuff    BoxLayout lewyL = new BoxLayout(left, BoxLayout.Y_AXIS);    left.setLayout(lewyL);    left.add(rastrowa); //radiobutton    left.add(wektorowa);//radiobutton    left.add(apDwuliniowa);//checkbox    left.add(wczytaj);//button    left.add(zapisz);//obutton    left.add(wyczysc);//button    BoxLayout prawyL = new BoxLayout(right, BoxLayout.Y_AXIS);    right.setLayout(prawyL);    right.add(zakladki);// tabs (mostly i use BoxLayout but for last one i need something more \""complicated\"")"", ""            JLabel label = new JLabel(\""O wektor\"");    JLabel labelA = new JLabel(\""a:\"");    JLabel labelB = new JLabel(\""b:\"");    JButton wykonaj = new JButton(\""Wykonaj\"");    JTextField a = new JTextField(5);    JTextField b = new JTextField(5);    add(label);    add(labelA);    add(a);    add(labelB);    add(b);    add(wykonaj);   ""]",<java><swing><awt><layout-manager><boxlayout>,13454738,"There's nothing wrong with the way it looks (in my opinion), but if you want it to look a little better, why don't you convert the left panel (which is 6x1) into a 3x2 panel, with the checkboxes/radiobuttons on the left, and buttons on the right? Sounds like a job for GridLayout - one of my favorite classes...--CODE--Note that the 3,2 defines the number of rows,columns. When adding panels, they are added to the grid from left-to-right, and top-to-bottom. GridLayout also auto-sizes the components, so all the buttons etc will be the same width and height, making it look more consistent.The [GridLayout documentation](""http://docs.oracle.com/javase/1.4.2/docs/api/java/awt/GridLayout.html"") might be useful, and the [Visual Guide to Layout Managers](""http://docs.oracle.com/javase/tutorial/uiswing/layout/visual.html"") is a great place to see other layout managers that might work better for your different situations. I personally find BorderLayout and GridLayout to be the most useful, and cover about 95% of the situations I ever need for my GUIs.","[""JPanel leftPanel = new JPanel(new GridLayout(3,2));leftPanel.add(rastrowa);     //radiobuttonleftPanel.add(wczytaj);      //buttonleftPanel.add(wektorowa);    //radiobuttonleftPanel.add(zapisz);       //obuttonleftPanel.add(apDwuliniowa); //checkboxleftPanel.add(wyczysc);      //button""]",User Interface Components with Swing,"{""Sophisticated Layout Management"": 0.95, ""Introduction to Layout Management"": 0.85}"
32417425,32417505,MouseListener on JFrame only listens borders,"I am trying to create a JFrame that will register MouseEvents for my game. However, when the following code is run, the console only prints ""in"" and ""out"" when you drag the frame border and then move your cursor. Very confusing. I tried adding the component glassPane and then adding the MouseListener there but it still is unsuccessful. --CODE--","[""import java.awt.Dimension;import java.awt.event.MouseEvent;import java.awt.event.MouseListener;import javax.swing.JFrame;public class Window extends JFrame implements MouseListener {    private static final long serialVersionUID = -240840600533728354L;    public Window(int width, int height, String title, Game game) {        JFrame frame = new JFrame(title);        frame.setPreferredSize(new Dimension(width, height));        frame.setSize(new Dimension(width, height));        frame.setMaximumSize(new Dimension(width, height));        frame.setMinimumSize(new Dimension(width, height));        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);        frame.setResizable(false);        frame.setLocationRelativeTo(null);        frame.add(game);        frame.setVisible(true);        frame.addMouseListener(this);        game.start();    }    @Override    public void mouseExited(MouseEvent e) {        System.out.println(\""out\"");    }    @Override    public void mouseClicked(MouseEvent e) {}    @Override    public void mousePressed(MouseEvent e) {}    @Override    public void mouseReleased(MouseEvent e) {}    @Override    public void mouseEntered(MouseEvent e) {}}""]",<java><swing><jframe><mouselistener>,32417505,"I think that the last thing that you want to do is to add the MouseListener to the JFrame, since the JFrame shouldn't have this responsibility. It's responsibility should be to hold and display the components that are added to it, and it is likely one of those components, probably the one that displays the game's active view, very likely a JPanel, which should get this MouseListener.Some side notes:I try to avoid extending JFrame and recommend that you do the same, unless you plan on overriding its behaviors (methods). Instead, create the JFrame when you need it.Your Window class in fact extends JFrame, but does not even create a displayable this object, so yet another (and stronger) reason not to have this class extend JFrame.I recommend having the Game object specify its own size by overriding its getPreferredSize() method, and then letting the JFrame achieve this by calling pack() on the JFrame after adding all components to it.Note that core Java already has a Window class, and you may wish to avoid having your class share names with core Java classes, just in case you wish to use one of those core classes later, and wish to avoid running into name clashes.",[],Graphical User Interface Programming,"{""Event Handling"": 0.9}"
19738402,19739656,How do I get a JPanel with an empty JLabel to take up space in a GridBagLayout,"I am  working on a GUI for a project at school. I am using a GridBagLayout in swing.I want to have a label indicating the input(a type of file @ x = 0, y = 0), followed by another label(the actual file name once selected @ x = 1, y = 0), followed by a browse button for a file chooser( @ x = 2, y = 0). The label at (1,0) is initially blank, however I want the area that the text will occupy to take up some space when the label contains no text. I also want the space between the label at (0,0) and the button at (2,0) to remain constant.To achieve this, I'm trying to put the label onto a panel and then play with the layouts. However I can't seam to achieve the desired results. Could anyone offer some suggestions? The next three rows of the GridBagLayout will be laid out exactly the same way. Here is a link to a screen shot of the GUI. --CODE--","[""    calibrationFileSelectionValueLabel = new JLabel(\""\"",Label.LEFT);    calibrationFileSelectionValueLabel.setName(\""calibrationFileSelection\"");    calibrationFileSelectionValueLabel.setMinimumSize(new Dimension(100,0));    calibrationFileSelectionValuePanel = new JPanel();    calibrationFileSelectionValuePanel.setBorder(BorderFactory.createEtchedBorder());    calibrationFileSelectionValuePanel.add(calibrationFileSelectionValueLabel);    c.gridx = 0;    c.gridy = 0;    c.fill = GridBagConstraints.NONE;    filesPanel.add(calibrationFileLabel,c);    c.gridy = 1;    filesPanel.add(frequencyFileLabel,c);    c.gridy = 2;    filesPanel.add(sampleFileLabel,c);    c.gridy = 3;    filesPanel.add(outputFileLabel,c);    c.gridx = 1;    c.gridy = 0;    c.fill = GridBagConstraints.BOTH;   // filesPanel.add(calibrationFileSelection,c);    filesPanel.add(calibrationFileSelectionValuePanel,c);    c.gridy = 1;   // filesPanel.add(frequencyFileSelection,c);    filesPanel.add(frequencyFileSelectionValueLabel,c);    c.gridy = 2;   // filesPanel.add(sampleFileSelection,c);    filesPanel.add(sampleFileSelectionValueLabel,c);    c.gridy = 3;   // filesPanel.add(outputFileSelection,c);    filesPanel.add(outputFileSelectionValueLabel,c);    c.gridx = 2;    c.gridy = 0;    c.fill = GridBagConstraints.NONE;    filesPanel.add(calibrationFileSelectionButton,c);    c.gridy = 1;    filesPanel.add(frequencyFileSelectionButton,c);          c.gridy = 2;    filesPanel.add(sampleFileSelectionButton,c);    c.gridy = 3;    filesPanel.add(createOutputFileButton,c);           panelForFilesPanelBorder = new JPanel();    panelForFilesPanelBorder.setBorder(BorderFactory.createCompoundBorder(new EmptyBorder(5,10,5,10), BorderFactory.createEtchedBorder()));    panelForFilesPanelBorder.add(filesPanel);    buttonsPanel = new JPanel();    buttonsPanel.setLayout(new FlowLayout(FlowLayout.CENTER));    buttonsPanel.setBorder(BorderFactory.createCompoundBorder(new EmptyBorder(5,10,10,10), BorderFactory.createEtchedBorder()));    buttonsPanel.add(startButton);    buttonsPanel.add(stopButton);    basePanel.add(panelForFilesPanelBorder);    basePanel.add(numericInputPanel);     basePanel.add(buttonsPanel); ""]",<java><swing><gridbaglayout>,19739656,"Well, Essentially, GridBagLayout places components in rectangles (cells) in a grid, and then uses the components' preferred sizes to determine how big the cells should be. With this layout:if the container's size is smaller than the preferred size only then the minimum size gets used. With empty("""") text A JLabel\JTextFeild\JButton's preferred size is around (2,2), if no preferred size hints is given to it explicitly using setPreferredSize(size) or overriding getPreferredSize(size). At his point setting minimum size will not work, as the preferred size with empty text is around (2,2) and container's size is already larger than the preferred size. GridBagLayout uses the preferred size not worrying about the minimum size at all.  You actually need to set both preferred and minimum size with GridBagLayout because:If you try setting  only the preferred size, shrinking the size of the window would eventually cause the container panel's size to get shrink. The container's panel size will be smaller than the preferred size of the component and the JLabel\JTextFeild\JButton  shrink to their minimum size. If you haven't given minimum size hints at this point, the default minimum size: likely to be around (2,2) gets used. You will understand better with given working example below.Some other things to note:--CODE--you are adding the panel which contains your calibrationFileSelectionValueLabel. You don't need to use an extra panel, rather just add the calibrationFileSelectionValueLabel directly to the grid by setting( instead overriding getPreferedSize(Size) is preferable) preferredSize. However try setting inset to the GridBagConstraints to look your first panel a little more nicer:--CODE--A minimal working example for you: In case you are not getting what we are saying, this example i have set only preferred size for  resolving your problem. But as i haven't set minimum size, try resizing the window to match with above explanation.  Source code:--CODE--","[""   c.gridx = 1;    c.gridy = 0;    c.fill = GridBagConstraints.BOTH;   // filesPanel.add(calibrationFileSelection,c);    filesPanel.add(calibrationFileSelectionValuePanel,c);"", ""   gridBagCnst.insets = new Insets(3, 3, 3, 3); "", ""import java.awt.*;import java.awt.Dimension;import java.awt.GridBagConstraints;import java.awt.Insets;import javax.swing.*;import javax.swing.SwingUtilities;import javax.swing.border.*;/** * * @author Rashed */ class GridBagLayoutDemo extends JFrame{    public JLabel createLabel(String txt, int width, int height, Color color)    {        JLabel label = new JLabel(txt);        label.setOpaque(true);        label.setBackground(color);        label.setPreferredSize(new Dimension(width, height));        return label;    }    public GridBagLayoutDemo() throws HeadlessException {      // setSize(400,400);       setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);       JPanel panel = new JPanel(new java.awt.GridBagLayout());       panel.setBorder(new EmptyBorder(10, 10, 10, 10));       GridBagConstraints labCnst = new GridBagConstraints();       Dimension preferredSize = new Dimension(140,20);       labCnst.insets = new Insets(3, 3, 3, 3);       JLabel title = new JLabel(\""My Title\"");       JLabel title2 = new JLabel(\""My Title\"");       JLabel title3 = new JLabel(\""My Title\"");       JLabel selectionLabel1 = new JLabel(\""\"");       selectionLabel1.setBorder(new LineBorder(Color.BLACK));       JLabel selectionLabel2 = new JLabel(\""\"");       selectionLabel2.setBorder(new LineBorder(Color.BLACK));       JLabel selectionLabel3 = new JLabel(\""\"");       selectionLabel3.setBorder(new LineBorder(Color.BLACK));       selectionLabel1.setPreferredSize(preferredSize);       selectionLabel2.setPreferredSize(preferredSize);       selectionLabel3.setPreferredSize(preferredSize);       JButton browse1 = new JButton(\""Browse\"");       JButton browse2 = new JButton(\""Browse\"");       JButton browse3 = new JButton(\""Browse\"");        labCnst.gridx = 0;        labCnst.gridy = 0;        panel.add(title, labCnst);        labCnst.gridy = 1;        panel.add(title2, labCnst);        labCnst.gridy = 2;        panel.add(title3, labCnst);        labCnst.gridx = 1;        labCnst.gridy = 0;        panel.add(selectionLabel1, labCnst);        labCnst.gridy = 1;        panel.add(selectionLabel2, labCnst);        labCnst.gridy = 2;        panel.add(selectionLabel3, labCnst);        labCnst.gridx = 3;        labCnst.gridy = 0;        panel.add(browse1, labCnst);        labCnst.gridy = 1;        panel.add(browse2, labCnst);        labCnst.gridy = 2;        panel.add(browse3, labCnst);       //labCnst.anchor = GridBagConstraints.LINE_END;       add(panel);       pack();    }    public static void main(String[] args) {        SwingUtilities.invokeLater(new Runnable() {            @Override            public void run() {                new GridBagLayoutDemo().setVisible(true);            }        });    }}""]",User Interface Components with Swing,{}
42735826,,Populating JComboBox with custom objects stored in an ArrayList,"I'm trying to populate a JComboBox with object names.  The objects are of Category type and are stored in an ArrayList (named categoryList) in the Category class. Here is the content of the Category class:--CODE--Here is the code that populates the JCombobox (method name: populateComboBox()):--CODE--When I populate the ArrayList with 2 objects, named Obj1 and Obj2, I get the following problems:When populateComboBox() is invoked, the combo box only displays the second object i.e. it only displays Obj2.  The expected display was Obj1, Obj2.Since it only displays Obj2. When populateComboBox() is invoked twice, the combo box displays two Obj2. When invoked three times it displays three Obj2. i.e. the number of times the method gets invoked, the number of times Obj2 gets displayed in the combo box.Should the categoryList ArrayList be inside the Category class? or should it be inside the control class? I'm a bit confused with this one.","[""public class Category {    private static String catName;    private static List<Category> categoryList;    public static void addToCatList(String str)    {        Category cat = new Category();        Category.setCatName(str);        categoryList.add(cat);    }    public static List<Category> getCatList()    {        return categoryList;    }    public static String getCatName()     {        return catName;    }    public static void setCatName(String catName)     {        Category.catName = catName;    }    @Override    public String toString()    {        return catName;    }}"", ""        List<Category> catList = new ArrayList<Category>();        catList = Category.getCatList();        Category list[] = new Category[catList.size()];        list = catList.toArray(list);        for(int i = 0; i <list.length; i++)        {                selectCatComboBox.addItem(list[i].getCatName());         }        addItemDialog.setVisible(true); ""]",<java><swing><arraylist><jcombobox>,42735975,"Your problem is that your design is broken. Category's catName name field is static and so only one object exists for the entire class. If you change it, you change it class wide. This is why Obj1 and Obj2 (bad names for variables by the way) share the same name and display the same name.This class should be broken into two classes, one say called Category that has no static fields, no List fields, has private instance fields, constructor(s), public methods, and another, perhaps called Categories, that holds a non-static ArrayList, with the addCategory(...) and such methods. Fix this first before concerning yourself with GUI, else you'll be building your house on a very shaky foundation. Whenever you create a static field, always ask yourself why you're doing this, and strongly consider seeing if you can make it instance instead.",[],User Interface Components with Swing,"{""Choice Components"": 0.85}"
44728150,44826204,Java making a copy of a list thread safe?,"I have multiple threads running in a Java application, and all of them need to access the same list. Only one thread, however, actually needs to insert/delete/change the list, and the others just need to access it.In the other threads, I want to make a copy of the list for me to use whenever I need to read it, but is there any way to do this in a thread safe way? If I had a method to copy the list element by element and the list changed, that would mess it up wouldn't it?EDIT:The list will not be deleted from very often, so would it work if I just copied it normally and caught exceptions? If the list grew in the middle of the copy and I missed it, it wouldn't really make a difference to functionality",[],<java><multithreading><list><concurrency>,44826204,"I decided to solve this by having a separate thread that handles the thread, with BlockingQueue for the other threads to submit to if they want to write to the list, or get from the list. If they wanted to write to the list it would submit an object with the content that they wanted to write, and if they wanted to read, it would submit a Future that the thread with the list would populate",[],Concurrency,"{""Synchronization"": 0.9}"
10344298,10344375,Convert byte array into a file without writing the file to a disk,"I have saved icon size images in a mysql database in bytes, now, what I need to do is retrieve those file bytes from the database and show those images in a swing application, I have a method which gets the bytes from the database and convert it back to a file but I have to write that file in to the diskthis is my method,--CODE--but this method doesn't give what I need, please assist me.","[""public void downloadFile(int FamerId) throws Exception {  String sql = \""SELECT * FROM images WHERE famer_id=?\"";  Connection con = JDBCConnectionPool.getInstance().checkOut();  PreparedStatement ps = con.prepareStatement(sql);          ps.setInt(1, FamerId);  ResultSet resultSet = ps.executeQuery();  int count = 0;  while (resultSet.next()) {    ByteArrayInputStream bais;    ObjectInputStream inputStream;    bais = new ByteArrayInputStream(resultSet.getBytes(\""image\""));    inputStream = new ObjectInputStream(bais);    SaveFile sf = (SaveFile) inputStream.readObject();    FileOutputStream out = new FileOutputStream(\""fileLocation/\"" + resultSet.getString(\""image_name\""));    byte[] bytes = sf.getArray();    int c = 0;    while (c < bytes.length) {      out.write(bytes[c]);      c++;    }    out.close();    inputStream.close();    bais.close();                JDBCConnectionPool.getInstance().checkOut();  }}""]",<java><swing><file>,10344375,"You can read images directly from byte streams with the [ImageIO](""http://docs.oracle.com/javase/6/docs/api/javax/imageio/ImageIO.html"") class. Assuming of course that you have previously written the image data in a compatible format. Which is hard to say given the fact that in your code you use an intermediary object input stream when reading your byte data. Here's an example of how you can create an image directly from the database without using intermediary files:--CODE--And an example of how you would have written the data to the database, in order to be able to use this code:--CODE--","[""bais = new ByteArrayInputStream(resultSet.getBytes(\""image\""));final BufferedImage image = ImageIO.read(bais);// pass the image to your Swing layer to be rendered."", ""final ByteArrayOutputStream baos = new ByteArrayOutputStream(64000);ImageIO.write(image, \""PNG\"", baos);final byte[] data = baos.toByteArray();// write data to database""]",Fundamental Programming Structures in Java,"{""Input and Output"": 0.9}"
22759934,,Which object do these threads synchronize on,I want to synchronize 3 threads invoked via ExecutorService. How do I ensure that they synchronize on the same object?Right now I have this code:--CODE--One of these threads is responsible for generating a condition and the other 2 act on it. ,"[""class Test {     executor.submit(new Request(threadNames[i]));    executor.submit(new Request(threadNames[i]));    executor.submit(new Request(threadNames[i]));     private class Request implements Callable {        @Override        public Long call() throws InterruptedException {            if (threadName.equals(\""SOMETHING\"") {                doSomething();            } else {                doSomeOtherThing();            }        }    }    private synchronized void doSomething() {    }    private synchronized void doSomeOtherThing() {    }    ...}""]",<java><multithreading><monitor><synchronized>,22760039,"You don't get to submit threads to the Executor service; you submit tasks, which will at some later point be executed on one of the threads in the Executor's thread pool;if one task is a producer and the two others consumers, then it is wrong to submit all three tasks to the Executor. It can easily lead to a deadlock, where a consumer task waits indefinitely for the producer, but the producer can't run because the consumers are occupying all the threads.Rethink your solution so that the producer task is also responsible for submitting the consumer tasks to the Executor; the tasks can be instantiated with the produced value, so the coordination problem is solved at the outset.",[],Concurrency,"{""Synchronization"": 0.85}"
48936177,48936483,Update AtomicInteger from other thread,"I have a class that creates many new objects each on their own thread and I would like to keep a running count across the threads. I wanted to have an AtomicInteger but it's not doing what I expected and instead just gets a smaller version. I'm assuming that this is a race condition error - but I'm not entirely sure.A created this test example which recreates what I want to do.--CODE--However, this outputs: --CODE--When I would like the final output to be 1000. How can I increment across threads?Thanks in advance.","[""public class Test {    public static void main(String args[]) {        AtomicInteger total = new AtomicInteger(0);        for (int i = 0; i < 10; i++) {            DoThing doThing = new DoThing();            Thread thread = new Thread(doThing);            thread.start();            total.addAndGet(doThing.getTally());        }        System.out.println(total.get());    }}class DoThing implements Runnable {    int tally = 0;    @Override    public void run() {        for(int i = 0; i< 100; i++) {            tally++;        }        System.out.println(\""Tally is \"" + tally);    }    public int getTally() {        return tally;    }}"", ""Tally is 100Tally is 100Tally is 100Tally is 100Tally is 100Tally is 100Tally is 100Tally is 1000Tally is 100Tally is 100""]",<java><multithreading><atomicinteger>,48936483,"Try with this:--CODE--The root of your problem is that you are misunderstanding how to use AtomicInteger, you are treating it just like a normal int and it is not being accessed concurrently at all.Also getTally() is a race condition until you assure that the thread has completed by calling Thread.join().So you can keep an up-to-date tally by having all the Runnables in the threads update the same AtomicInteger instance and you can ensure that you have the right total by waiting for all the threads to finish their tallies by join()ing them before getting the tally.","[""public static void main(String args[]) {    AtomicInteger tally = new AtomicInteger(0);    List<Thread> threadList = new ArrayList<Thread>();    for (int i = 0; i < 10; i++) {        Thread t = new Thread(new DoThing(tally));        t.start();        threadList.add(t);    }    for (Thread t : threadList) {        try { t.join(); } catch (Exception e){}    }    System.out.println(\""Total tally: \"" + tally.get());}public static class DoThing implements Runnable {    private static final Random rand = new Random();    private final AtomicInteger tally;    public DoThing(AtomicInteger tally) {        this.tally = tally;    }    @Override public void run() {        for (int i = 0; i < 100; i++) {            int currTally  = tally.incrementAndGet();            System.out.println(\""Thread \"" + Thread.currentThread().getName() + \"": \"" + currTally);            // Random sleep to show that your threads are properly concurrently incrementing            try { Thread.sleep(rand.nextInt(10)); } catch (Exception e) {}        }    }}""]",Concurrency,"{""Synchronization"": 1.0}"
38026326,,precise behaviour of interrupt() method with respective to thread states in java,"I have read the post below What does java.lang.Thread.interrupt() do? but i have not been able to get it completely rightI quote from @Mike_q answer to above question as below  Thread.interrupt() sets the interrupted status/flag of the target thread. Then code running in that target thread MAY poll the interrupted status and handle it appropriately. Some methods that block such as Object.wait() may consume the interrupted status immediately and throw an appropriate exception (usually InterruptedException)It says while object is in WAITING it can consume interrupted status, so what happens when it is BLOCKED state waiting for object's lock ... ?i have experimented below with that scenario and code is at X: t2 is blocked--CODE--and output has below--CODE--it seems that InterruptedException has been called ,when sleep method is called later... why is that ...?again what is polling i didn't quite understand from what is said here  Polling occurs via the Thread.interrupted() method which returns the current thread's interrupted status AND clears that interrupt flag. Usually the thread might then do something such as throw InterruptedException.again whenever i called Thread2.interrupted() method in above code it returned false  (when i called just after t2.interrupt  and in catch block) ","[""    public class interruptsyc{    static Object resource = new Object();    public static void main(String []args)    {        System.out.println(\""started main\"");        Thread1 t1=new Thread1(\""thread 1\"");        t1.start();        delay(1000);        Thread2 t2 =new Thread2(\""thread 2\"");        t2.start();        delay(1000);        t2.interrupt(); // X: at this point t2 is in blocked state waiting for resource's lock        System.out.println(t2.getName()+t2.interrupted());        delay(1000);        System.out.println(\""end main\"");    }    static void delay(long n)    {        try        {        Thread.sleep(n);        }        catch(InterruptedException ex)        {            System.out.println(Thread.currentThread().getName()+Thread.interrupted());            ex.printStackTrace();        }    }    static class Thread1 extends Thread{        Thread1(String name)        {            setName(name);        }        public void run()        {            synchronized(resource)            {                System.out.println(\""start 1\"");                delay(6000);                System.out.println(\""end 1\"");            }        }    }    static class Thread2 extends Thread{        Thread2(String name )        {        setName(name);          }        public void run()        {            synchronized(resource)            {                System.out.println(\""start 2\"");                delay(2000);                System.out.println(\""end 2\"");            }        }    }}"", ""started mainstart 1falseend mainend 1start 2thread 2falsejava.lang.InterruptedException: sleep interrupted        at java.lang.Thread.sleep(Native Method)        at interruptsyc.delay(interruptsyc.java:25)        at interruptsyc$Thread2.run(interruptsyc.java:59)end 2""]",<java><multithreading><interrupt><thread-sleep><interrupted-exception>,38026604,"  it seems that InterruptedException has been called ,when sleep method is called later... why is that ...?Because blocking/sleeping methods don't block immediately. They first check if the thread has been interrupted, and if it has been, they throw an InterruptedException immediately, in order for the thread to stop ASAP.  whenever i called Thread2.interrupted() method in above code it returned falseBecause when blocking/sleeping methods throw an InterruptedException, they also clear the interrupt flag.This is in the javadoc of [Thread.sleep()](""https://docs.oracle.com/javase/8/docs/api/java/lang/Thread.html#sleep-long-""):  Throws InterruptedException - if any thread has interrupted the current thread. The interrupted status of the current thread is cleared when this exception is thrown.",[],Concurrency,"{""Thread Properties"": 0.9}"
